Tíðni	Orðmynd	Mark (Gull)	Mark (Nefnir)	Lemma (Gull)	Lemma (Nefnir)
1	kei-ið	nheog	no-hk-et-þf-gr	kei	kei-
1	meir	lhensm	lo-sb-mst	mikill	meir
1	stiff	lvenof	lo-ób	stiffur	stiff
1	glimmar	x	ób-x	glimmer	glimmar
1	rrrrrrúússstuðu	sng	so-nh-gm	rrrrrrúússsta	rrrrrrúússstuðu
1	kiddi	nken	no-kk-et-nf	Kiddi	kiddi
1	hives	n----s	no-x-s	hives	Hives
1	flóki	nken	no-kk-et-nf	Flóki	flóki
1	reynað	x	ób-x	reyna	reynað
1	kippa	nkee	no-kk-et-ef	Kippi	kippi
1	kaninus	nkee	no-kk-et-ef	Kaninus	kaninus
1	geira	nkee	no-kk-et-ef	Geiri	geiri
1	egil	nkeo	no-kk-et-þf	Egill	egill
1	jonniebegoode	n----s	no-x-s	jonniebegoode	Jonniebegoode
1	nietche	n----s	no-x-s	nietche	Nietche
1	síns	fpkee	fn-p-3p-kk-et-ef	síns	sínn
1	maría	x	ób-x	María	maría
1	ér	x	ób-x	vera	ér
1	oasis	n----s	no-x-s	oasis	Oasis
1	suede	n----s	no-x-s	suede	Suede
1	ólafs	x	ób-x	Ólafur	ólafs
1	chris	n----s	no-x-s	chris	Chris
1	iron	n----s	no-x-s	iron	Iron
1	bjarna	nkee	no-kk-et-ef	Bjarni	bjarni
1	bjarni	nken	no-kk-et-nf	Bjarni	bjarni
1	bítlacover	nhen	no-hk-et-nf	Bítlacover	bítlacover
1	bítlalag	nhen	no-hk-et-nf	Bítlalag	bítlalag
1	bítlakona	nven	no-kvk-et-nf	Bítlakona	bítlakona
1	bandins	x	ób-x	band	bandins
1	glastonbury	n----s	no-x-s	glastonbury	Glastonbury
1	magni	nken	no-kk-et-nf	Magni	magni
1	eina	faveo	fn-á-kvk-et-þf	eina	einn
1	original	n----s	no-x-s	original	Original
1	madonnu	n----s	no-x-s	madonnu	Madonnu
1	kylie	n----s	no-x-s	kylie	Kylie
1	mark	n----s	no-x-s	mark	Mark
1	owen	n----s	no-x-s	owen	Owen
1	take	n----s	no-x-s	take	Take
1	heheheh	au	ób-uh	hehe	heheheh
1	NOT	e	ób-e	not	NOT
1	chet	n----s	no-x-s	chet	Chet
1	baker	n----s	no-x-s	baker	Baker
1	sveinbjörn	nken	no-kk-et-nf	Sveinbjörn	sveinbjörn
1	baldur	nken	no-kk-et-nf	Baldur	baldur
1	árni	nken	no-kk-et-nf	Árni	árni
1	hrebbna	x	ób-x	Hrefna	hrebbna
1	arnars	nkee	no-kk-et-ef	Arnar	arnar
1	ingvi	nken	no-kk-et-nf	Ingvi	ingvi
1	rósa	x	ób-x	Rósa	rósa
1	magga	nven	no-kvk-et-nf	Magga	magga
1	fljúgja	sng	so-nh-gm	fljúga	fljúgja
1	mosó	nkeþ	no-kk-et-þgf	mosó	mosór
1	arnór	nkeo	no-kk-et-þf	Arnór	arnór
1	gunna	nkee	no-kk-et-ef	Gunni	gunni
1	más	x	ób-x	Már	más
1	palla	nkeþ	no-kk-et-þgf	Palli	palli
1	lubba	nkeo	no-kk-et-þf	Lubbi	lubbi
1	mása	nven	no-kvk-et-nf	Mási	mása
1	nóra	nven	no-kvk-et-nf	Nóra	nóra
1	lúlla	nkeþ	no-kk-et-þgf	Lúlli	lúlli
1	gunna	nkeþ	no-kk-et-þgf	Gunni	gunni
1	kysstststst	x	ób-x	kysstststa	kysstststst
1	opruh	n----s	no-x-s	opruh	Opruh
1	sirrýar	nvee	no-kvk-et-ef	sirrýar	sirrý
1	Útvarpinu	nheþgs	no-hk-et-þgf-gr-s	Útvarp	Útvarpið
1	eyrnasýkingum	nvfþ	no-kvk-ft-þgf	heyrnasýking	eyrnasýking
1	EVA	nven-s	no-kvk-et-nf-s	Eva	EVA
1	Tsjekovs	nkee-s	no-kk-et-ef-s	Tsjekov	Tsjekovur
1	Kirsuberjagarðinn	nkeogs	no-kk-et-þf-gr-s	kirsuberjagarður	Kirsuberjagarður
1	snjalla	lheovf	lo-hk-et-þf-vb-fst	snjallur	snjall
1	fv	ks	ób-sk	fv.	fv
1	Kvennalistans	nkee-s	no-kk-et-ef-s	kvennalisti	Kvennalistans
1	ath	ks	ób-sk	ath.	ath
1	vinstri-	kt	ób-sk	vinstrimannaflokkur	vinstri-
1	N-i	nheþ-s	no-hk-et-þgf-s	N	N-
1	L-lista	nkeo-s	no-kk-et-þf-s	l-listi	L-listi
1	L-lista	nkeþ-s	no-kk-et-þgf-s	l-listi	L-listi
1	sundurtætt	lhensf	lo-hk-et-nf-sb-fst	sundurtættur	sundurtæður
1	L-listanum	nkeþgs	no-kk-et-þgf-gr-s	l-listi	L-listi
1	Kirkjutúnsreitur	nken-s	no-kk-et-nf-s	kirkjutúnsreitur	Kirkjutúnsreitur
1	skipulags-	kt	ób-sk	skipulagssvið	skipulags-
1	borgara-vinsamlegu	lhfnvf	lo-hk-ft-nf-vb-fst	borgaravinsamlegur	borgara-vinsamlegur
1	Nær	afm	ao-mst	nær	narri
1	net-kassanum	nkeþg	no-kk-et-þgf-gr	netkassi	net-kassi
1	Na	x	ób-x	NA	Na
1	HyperPhysics	n----s	no-x-s	HyperPhysics	Hyperphysics
1	efnafasa	nkfe	no-kk-ft-ef	efnafas	efnafasi
1	hegningalögum	nhfþ	no-hk-ft-þgf	hegningalög	hegningalag
1	a	x	ób-x	á	a
1	fæðu-	kt	ób-sk	fæðueftirlit	fæðu-
1	náms-	kt	ób-sk	námstækifæri	náms-
1	efnahags-og	lveesf	lo-kvk-et-ef-sb-fst	efnahagslegur	efnahags-og
1	tvígata	lhenof	lo-ób	tvígatur	tvígata
1	kynlífs-fræðsla	nven	no-kvk-et-nf	kynlífsfræðsla	kynlífs-fræðsla
1	-hegðun	nven	no-kvk-et-nf	hegðun	-hegðun
1	DiBartolo	n----s	no-x-s	DiBartolo	Dibartolo
1	kallaða	x	ób-x	svokallaður	kallaða
1	fjrálsa	x	ób-x	frjáls	fjrálsa
1	Rannsóknamiðstöð	nveo-s	no-kvk-et-þf-s	rannsóknamiðstöð	Rannsóknamiðstöð
1	FÍB-blaðinu	nheþgs	no-hk-et-þgf-gr-s	FÍB-blað	FÍB-blaðið
1	Lausnir	nvfo-s	no-kvk-ft-þf-s	Lausn	Lausnir
1	HYUNDAI	n----s	no-x-s	HYUNDAI	Hyundai
1	Clix-hugmyndabílinn	nkeogs	no-kk-et-þf-gr-s	Clixhugmyndabíll	Clix-hugmyndabíll
1	Clix-hugmyndabíllinn	nkengs	no-kk-et-nf-gr-s	Clixhugmyndabíll	Clix-hugmyndabíll
1	i-Drive	n----s	no-x-s	i-Drive	I-Drive
1	SKODA	n----s	no-x-s	SKODA	Skoda
1	C	ks	ób-sk	C.	C
1	MacPherson	n----s	no-x-s	MacPherson	Macpherson
1	Vegagerðar	nvee-s	no-kvk-et-ef-s	Vegagerð	Vegagerður
1	stallbaks-	kt	ób-sk	stallbaksútgáfa	stallbaks-
1	þæginda-	kt	ób-sk	þægindabúnaður	þæginda-
1	sætisbökin	nheng	no-hk-et-nf-gr	sætisbak	sætisbökin
1	I4	x	ób-x	i4	I4
1	2,3L	ks	ób-sk	2,3l	2,3L
1	CZ2	ta	to	cz2	CZ2
1	VII	ta	to	VII.	vi
1	WX-01	x	ób-x	wx-01	WX-01
1	HM-01	x	ób-x	hm-01	HM-01
1	hátæknivætt	lhensf	lo-hk-et-nf-sb-fst	hátæknivættur	hátæknivæður
1	R14	x	ób-x	r14	R14
1	rsm	ks	ób-sk	rsm.	rsm
1	veisluföng	nhfo	no-hk-ft-þf	veislufang	veisluföng
1	Sambandsskipanna	nhfe-s	no-hk-ft-ef-s	Sambandsskipanna	Sambandsskipann
1	hefur	sfg2en	so-fh-gm-2p-et-nt	hefja	hafa
1	áraraðir	nvfn	no-kvk-ft-nf	áraraðir	áraröð
1	MacKay	n----s	no-x-s	MacKay	Mackay
1	Strætó	nken-s	no-kk-et-nf-s	strætó	Strætó
1	-Ferðafélag	nhen-s	no-hk-et-nf-s	ferðafélag	-Ferðafélag
1	Ólafsfjöðrður	x	ób-x	Ólafsfjörður	Ólafsfjöðrður
1	Síldarminjasafnið	nhengs	no-hk-et-nf-gr-s	Síldarminjasafnið	Síldarminjasafn
1	Smámunasafnið	nhengs	no-hk-et-nf-gr-s	Smámunasafnið	Smámunasafn
1	árhundruðir	nvfo	no-kvk-ft-þf	árhundrað	árhundruð
1	Íslandingar	nkfn-s	no-kk-ft-nf-s	Íslendingur	Íslandingur
1	þjóðfélagsbreytingum	nvfþ	no-kvk-ft-þgf	þjóðfélagsbreyting	þjóðfélagsbreytingar
1	Kussungsstaðasystur	nvfn-s	no-kvk-ft-nf-s	Kussungsstaðasystir	Kussungsstaðasystur
1	Villist	sbm2fn	so-bh-mm-2p-ft-nt	villa	villast
1	réttlættir	sþgkfn	so-lhþt-gm-kk-ft-nf	réttlátur	réttlæta
1	frítt	lhensf	lo-hk-et-nf-sb-fst	fríður	frír
1	snarhætti	sfg1eþ	so-fh-gm-1p-et-þt	snarhæta	snarhætta
1	fimleikana	nkfog	no-kk-ft-þf-gr	fimleikur	fimleikar
1	fimleikunum	nkfþg	no-kk-ft-þgf-gr	fimleikur	fimleikar
1	brosandi	lhensf	lo-hk-et-nf-sb-fst	brosandi	brosandiur
1	vanda	lkfosf	lo-kk-ft-þf-sb-fst	vaninn	vandur
1	McBain-bækurnar	nvfogs	no-kvk-ft-þf-gr-s	McBain-bók	Mcbain-bók
1	HANDVERKSSÝNINGIN	nvengs	no-kvk-et-nf-gr-s	handverkssýning	Handverkssýning
1	Blöndal	nkeo-s	no-kk-et-þf-s	Blöndal	Blöndalur
1	grundvallar-siðaregla	nven	no-kvk-et-nf	grundvallarsiðaregla	grundvallar-siðaregla
1	Kynningarmiðstöðvar	nvee-s	no-kvk-et-ef-s	kynningarmiðstöð	Kynningarmiðstöð
1	dvalar-	kt	ób-sk	dvalarstyrkur	dvalar-
1	verkefna-	kt	ób-sk	verkefnastyrkur	verkefna-
1	Kynningarmiðstöðvarinnar	nveegs	no-kvk-et-ef-gr-s	kynningarmiðstöð	Kynningarmiðstöðin
1	Ferða-	kt	ób-sk	ferðastyrkur	Ferða-
1	ferða-	kt	ób-sk	ferðastyrkur	ferða-
1	Basilisco-vinnustofunum	nvfþgs	no-kvk-ft-þgf-gr-s	vinnustofa	Basilisco-vinnustofa
1	Blindraheimilinu	nheþgs	no-hk-et-þgf-gr-s	blindraheimili	Blindraheimilið
1	LISTAHÁSKÓLA	nkeþ-s	no-kk-et-þgf-s	listaháskóli	Listaháskóli
1	Latabæ	nkeo-s	no-kk-et-þf-s	Latibær	Latabær
1	Rxd4	x	ób-x	rxd4	Rxd4
1	Be2	ta	to	be2	Be2
1	Be6	ta	to	be6	Be6
1	Dd3	ta	to	dd3	Dd3
1	O-O-O	x	ób-x	o-o-o	O-O-O
1	Kb1	x	ób-x	kb1	Kb1
1	Bxh4	ta	to	bxh4	Bxh4
1	Bh6	ta	to	bh6	Bh6
1	Bg4	ta	to	bg4	Bg4
1	Rc5	x	ób-x	rc5	Rc5
1	Rd3	x	ób-x	rd3	Rd3
1	Rd4	x	ób-x	rd4	Rd4
1	Bf5	ta	to	bf5	Bf5
1	Hac8	x	ób-x	hac8	Hac8
1	Rb4	x	ób-x	rb4	Rb4
1	Dc7	ta	to	dc7	Dc7
1	Bxf5	ta	to	bxf5	Bxf5
1	Dxf5	x	ób-x	dxf5	Dxf5
1	Df7	ta	to	df7	Df7
1	Hc6	x	ób-x	hc6	Hc6
1	Ha8	x	ób-x	ha8	Ha8
1	Hhd1	x	ób-x	hhd1	Hhd1
1	Dh3	x	ób-x	dh3	Dh3
1	Bf8	ta	to	bf8	Bf8
1	Bg7	ta	to	bg7	Bg7
1	35	ta	to	35.	35
1	He8	x	ób-x	he8	He8
1	Hh1	x	ób-x	hh1	Hh1
1	Dxh3	x	ób-x	dxh3	Dxh3
1	Hdxh3	x	ób-x	hdxh3	Hdxh3
1	Hxh7	x	ób-x	hxh7	Hxh7
1	Hcc8	x	ób-x	hcc8	Hcc8
1	H7h3	x	ób-x	h7h3	H7h3
1	Hg1	x	ób-x	hg1	Hg1
1	Hf8	x	ób-x	hf8	Hf8
1	41	ta	to	41.	41
1	Kc2	x	ób-x	kc2	Kc2
1	Hee8	x	ób-x	hee8	Hee8
1	Hh6	x	ób-x	hh6	Hh6
1	Hh8	x	ób-x	hh8	Hh8
1	Hgh1	x	ób-x	hgh1	Hgh1
1	A-flokki	nkeþ-s	no-kk-et-þgf-s	a-flokkur	A-flokkur
1	Hh7	x	ób-x	hh7	Hh7
1	Kxh7	x	ób-x	kxh7	Kxh7
1	Rxf6	x	ób-x	rxf6	Rxf6
1	Taflfélagsins	nheegs	no-hk-et-ef-gr-s	Taflfélag	Taflfélagið
1	D952	ta	to	d952	D952
1	K72	x	ób-x	k72	K72
1	K7	x	ób-x	k7	K7
1	Gylfad	n----s	no-x-s	Gylfad.	Gylfad
1	Gerðum	nvfþ-s	no-kvk-ft-þgf-s	Gerð	Gerðir
1	Aðalsteinsd	n----s	no-x-s	Aðalsteinsd.	Aðalsteinsd
1	Ý	n----s	no-x-s	Ý.	Ý
1	Bb4	ta	to	bb4	Bb4
1	Re2	x	ób-x	re2	Re2
1	Rd7	x	ób-x	rd7	Rd7
1	Bxd3	ta	to	bxd3	Bxd3
1	Hxd3	x	ób-x	hxd3	Hxd3
1	Hd5	x	ób-x	hd5	Hd5
1	Hb1	x	ób-x	hb1	Hb1
1	Rg3	x	ób-x	rg3	Rg3
1	Rf5	x	ób-x	rf5	Rf5
1	Hxe5	x	ób-x	hxe5	Hxe5
1	Had8	x	ób-x	had8	Had8
1	Dd7	ta	to	dd7	Dd7
1	Dxc4	x	ób-x	dxc4	Dxc4
1	Be3	ta	to	be3	Be3
1	Rxe4	x	ób-x	rxe4	Rxe4
1	Rxc3	x	ób-x	rxc3	Rxc3
1	Hd1	x	ób-x	hd1	Hd1
1	Bf2	ta	to	bf2	Bf2
1	Rh6	x	ób-x	rh6	Rh6
1	Kxh6	x	ób-x	kxh6	Kxh6
1	31...Hxe1+	x	ób-x	31...hxe1+	31...Hxe1+
1	Bxe1	ta	to	bxe1	Bxe1
1	Rd2	x	ób-x	rd2	Rd2
1	De3	ta	to	de3	De3
1	Dc1	ta	to	dc1	Dc1
1	Kf2	x	ób-x	kf2	Kf2
1	Kg3	x	ób-x	kg3	Kg3
1	Df4	ta	to	df4	Df4
1	Dxf4	x	ób-x	dxf4	Dxf4
1	Kxf4	x	ób-x	kxf4	Kxf4
1	Hc5	x	ób-x	hc5	Hc5
1	Rxa3	x	ób-x	rxa3	Rxa3
1	Kf5	x	ób-x	kf5	Kf5
1	Hd8	x	ób-x	hd8	Hd8
1	Be5	ta	to	be5	Be5
1	Bb5	ta	to	bb5	Bb5
1	Ba4	ta	to	ba4	Ba4
1	Bb3	ta	to	bb3	Bb3
1	Bc2	ta	to	bc2	Bc2
1	Hc8	x	ób-x	hc8	Hc8
1	Rbd2	x	ób-x	rbd2	Rbd2
1	Rh5	x	ób-x	rh5	Rh5
1	Rf1	x	ób-x	rf1	Rf1
1	Ra3	x	ób-x	ra3	Ra3
1	Dxh5	x	ób-x	dxh5	Dxh5
1	Bxe5	ta	to	bxe5	Bxe5
1	Ha2	x	ób-x	ha2	Ha2
1	Hc3	x	ób-x	hc3	Hc3
1	Df6	ta	to	df6	Df6
1	He3	x	ób-x	he3	He3
1	Hfc8	x	ób-x	hfc8	Hfc8
1	Bd2	ta	to	bd2	Bd2
1	H3c5	x	ób-x	h3c5	H3c5
1	H8c7	x	ób-x	h8c7	H8c7
1	Rg4	x	ób-x	rg4	Rg4
1	Dc8	ta	to	dc8	Dc8
1	Bf1	ta	to	bf1	Bf1
1	Bxc1	ta	to	bxc1	Bxc1
1	Hxc1	x	ób-x	hxc1	Hxc1
1	Dd2	ta	to	dd2	Dd2
1	Hxf1	x	ób-x	hxf1	Hxf1
1	Kh2	x	ób-x	kh2	Kh2
1	Hd6	x	ób-x	hd6	Hd6
1	Ke7	x	ób-x	ke7	Ke7
1	Kxd7	x	ób-x	kxd7	Kxd7
1	Hd2	x	ób-x	hd2	Hd2
1	sf	ks	ób-sk	sf.	sf
1	Hafliðas	n----s	no-x-s	Hafliðas.	Hafliðas
1	Sigurbjörnss	n----s	no-x-s	Sigurbjörnss.	Sigurbjörnss
1	Sigurbj	n----s	no-x-s	Sigurbj.	Sigurbj
1	Benediktss	n----s	no-x-s	Benediktss.	Benediktss
1	verðlaunaður	lkensf	lo-kk-et-nf-sb-fst	verðlaunaður	gverðlaunaður
1	hálfsjöleytið	nheog	no-hk-et-þf-gr	hálfsjöleyti	hálfsjöleytið
1	Kjördæmamótið	nhengs	no-hk-et-nf-gr-s	kjördæmamót	Kjördæmamót
1	Ásgr	n----s	no-x-s	Ásgr.	Ásgr
1	Þórarinss	x	ób-x	þórarinss	Þórarinss
1	Þórólfss	x	ób-x	þórólfss	Þórólfss
1	Magnúsd	n----s	no-x-s	Magnúsd.	Magnúsd
1	Axelss	n----s	no-x-s	Axelss.	Axelss
1	Hallgrímss	x	ób-x	Hallgrímss.	Hallgrímss
1	Aðalsteinss	n----s	no-x-s	Aðalsteinss.	Aðalsteinss
1	Jónss	n----s	no-x-s	Jónss.	Jónss
1	Sverriss	x	ób-x	Sverriss.	Sverriss
1	Stefnisd	x	ób-x	Stefnisd.	Stefnisd
1	Þorv	n----s	no-x-s	Þorv.	Þorv
1	Sigurjónsd	n----s	no-x-s	Sigurjónsd.	Sigurjónsd
1	Gunnarss	n----s	no-x-s	Gunnarss.	Gunnarss
1	Jörundss	n----s	no-x-s	Jörundss.	Jörundss
1	Viktorss	n----s	no-x-s	Viktorss.	Viktorss
1	Erlendsd	n----s	no-x-s	Erlendsd.	Erlendsd
1	Bergsv	n----s	no-x-s	Bergsv.	Bergsv
1	Steinarss	n----s	no-x-s	Steinarss.	Steinarss
1	fjölmiðlalögin	nhfog	no-hk-ft-þf-gr	fjölmiðlalög	fjölmiðlalag
1	Landsbankaútibúið	nhengs	no-hk-et-nf-gr-s	Landsbankaútibú	Landsbankaútibúið
1	hálfellefuleytið	nheog	no-hk-et-þf-gr	hálfellefuleyti	hálfellefuleytið
1	Vís	n-en-s	no-x-s	VÍS	Vís
1	Apóteksins	nheegs	no-hk-et-ef-gr-s	Apótek	Apótekið
1	Haga	nkfo-s	no-kk-ft-þf-s	Hagi	Hagar
1	Tannlæknafélags	nhee-s	no-hk-et-ef-s	tannlæknafélag	Tannlæknafélag
1	Neytendablaðið	nheogs	no-hk-et-þf-gr-s	neytendablað	Neytendablaðið
1	markaðs-	kt	ób-sk	markaðskönnun	markaðs-
1	upplýsinga	x	ób-x	upplýsing	upplýsinga
1	úrskurðar-	kt	ób-sk	úrskurðarnefnd	úrskurðar-
1	Neytendendasamtökunum	nhfþgs	no-hk-ft-þgf-gr-s	neytendendasamtök	Neytendendasamtök
1	Lausafjár-	kt	ób-sk	lausafjárkaup	Lausafjár-
1	Evrópu-sambandsins	nheegs	no-hk-et-ef-gr-s	Evrópusamband	Evrópu-samband
1	Brunavarðafélag	nhen-s	no-hk-et-nf-s	brunavarðafélag	Brunavarðafélag
1	geymslu-	kt	ób-sk	geymslustaður	geymslu-
1	kennslu-	kt	ób-sk	kennslubók	kennslu-
1	McClure	n----s	no-x-s	McClure	Mcclure
1	skammastu	sfm2en	so-fh-mm-2p-et-nt	skamma	skammast
1	langalöngu	lheþsf	lo-hk-et-þgf-sb-fst	langalöngu	langalangur
1	móður-	kt	ób-sk	móðurfjölskylda	móður-
1	mörgu	lvfosf	lo-kvk-ft-þf-sb-fst	margur	mörgu
1	manneskur	x	ób-x	manneskja	manneskur
1	Réttargeðdeildinni	nveþgs	no-kvk-et-þgf-gr-s	réttargeðdeild	Réttargeðdeild
1	góða	x	ób-x	góður	góða
1	Vetrarbrautinni	nveþgs	no-kvk-et-þgf-gr-s	Vetrarbraut	Vetrarbrautin
1	ryk-	kt	ób-sk	rykský	ryk-
1	Háskólabókasafni	nheþ-s	no-hk-et-þgf-s	háskólabókasafn	Háskólabókasafn
1	Berkeley-háskóla	nkee-s	no-kk-et-ef-s	Berkeleyháskóli	Berkeley-háskóli
1	myndbanda-	kt	ób-sk	myndbandalist	myndbanda-
1	Berkeley-háskóli	nken-s	no-kk-et-nf-s	Berkeleyháskóli	Berkeley-háskóli
1	risaðlurnar	x	ób-x	risaeðla	risaðlurnar
1	minn	x	ób-x	minna	minn
1	kekkkjunum	nkfþg	no-kk-ft-þgf-gr	kekkur	kekkkur
1	reikistjörnun	x	ób-x	reikistjarna	reikistjörnun
1	tunglins	x	ób-x	tunglin	tunglins
1	Babylóníu	nveþ-s	no-kvk-et-þgf-s	Babýlonía	Babylónía
1	plöntu-	kt	ób-sk	plöntuleif	plöntu-
1	H.	nheo	no-hk-et-þf	h	H.
1	afturkvæmt	lheosf	lo-hk-et-þf-sb-fst	afturkvæmt	afturkvæmur
1	sveipanda	lheeof	lo-ób	sveipandur	sveipanda
1	fyrsttöldu	lvfnvf	lo-kvk-ft-nf-vb-fst	fyrsttaldur	fyrsttalinn
1	eldgosi	x	ób-x	eldgos	eldgosi
1	gosa	x	ób-x	gosi	gosa
1	leiktækjasölum	nkfþ	no-kk-ft-þgf	leiktækjasali	leiktækjasalur
1	tjáningar-	kt	ób-sk	tjáningarfrelsi	tjáningar-
1	skoðar	x	ób-x	skoða	skoðar
1	Jafnramt	aa	ao	jafnframt	jafnramt
1	fébóta-	kt	ób-sk	fébótaábyrgð	fébóta-
1	sölu-	kt	ób-sk	söluaðili	sölu-
1	-miðlum	nkfþ	no-kk-ft-þgf	miðill	-miðill
1	Farmanna-	kt	ób-sk	Farmannasamband	Farmanna-
1	fjarskipta-	kt	ób-sk	fjarskiptakerfi	fjarskipta-
1	R-LISTA	nkeþ-s	no-kk-et-þgf-s	R-listi	R-LISTI
1	forsætis-	kt	ób-sk	forsætisráðherra	forsætis-
1	Flugfreyjufélagsins	nheegs	no-hk-et-ef-gr-s	flugfreyjufélag	Flugfreyjufélag
1	Sjómannasambandið	nheogs	no-hk-et-þf-gr-s	sjómannasamband	Sjómannasamband
1	íbúðarhúsnæð	x	ób-x	íbúðarhúsnæði	íbúðarhúsnæð
1	kennarar	x	ób-x	kennari	kennarar
1	Bath-flokkur	nken-s	no-kk-et-nf-s	Bathflokkur	Bath-flokkur
1	Dawa-flokkur	nken-s	no-kk-et-nf-s	Dawaflokkur	Dawa-flokkur
1	sjíamúslima	nkfe	no-kk-ft-ef	sjíamúslimur	sjíamúslimi
1	alSadr	n----s	no-x-s	alSadr	Alsadr
1	DJ-inn	nkeng	no-kk-et-nf-gr	DJ	DJ-
1	aldhurshóp	nkeo	no-kk-et-þf	aldurshópur	aldhurshópur
1	Stuðmannalög	nhfo-s	no-hk-ft-þf-s	Stuðmannalög	Stuðmannalag
1	Aldurs-samsetningin	nveng	no-kvk-et-nf-gr	aldurssamsetning	Aldurs-samsetning
1	Hverfisbarinn	nkengs	no-kk-et-nf-gr-s	hverfisbar	Hverfisbarinn
1	Hverfisbarinn	nkeogs	no-kk-et-þf-gr-s	hverfisbar	Hverfisbarinn
1	mínútur	x	ób-x	mínúta	mínútur
1	Lang-sætustu	lvfnve	lo-kvk-ft-nf-vb-est	langsætastur	Lang-sætur
1	peninguinn	x	ób-x	peningur	peninguinn
1	OXFAM	n----s	no-x-s	OXFAM	Oxfam
1	birtist	x	ób-x	birta	birtist
1	Herra	nken-s	no-kk-et-nf-s	herra	Herra
1	Herra	nkee-s	no-kk-et-ef-s	herra	Herra
1	Stórabeltisbrúna	nveogs	no-kvk-et-þf-gr-s	Stórabeltisbrúin	Stórabeltisbrú
1	næstlengsta	lvenve	lo-kvk-et-nf-vb-est	næstlengstur	næstlangur
1	Mýra	nvfe-s	no-kvk-ft-ef-s	Mýri	Mýrar
1	Ingimundr	nken-s	no-kk-et-nf-s	Ingimundur	Ingimundr
1	Ok	c	ób-st	og	ok
1	fell	sfg3eþ	so-fh-gm-3p-et-þt	Fell	fellva
1	mjök	aa	ao	mjög	mjök
1	Brúa	nvfe-s	no-kvk-ft-ef-s	Brúar	Brýr
1	Kómu	sfg3fþ	so-fh-gm-3p-ft-þt	koma	kóma
1	Mýrum	nvfþ-s	no-kvk-ft-þgf-s	Mýri	Mýrar
1	sökótt	lheosf	lo-hk-et-þf-sb-fst	sökótt	sökóttur
1	betr	aam	ao-mst	vel	betr
1	fallit	sþghen	so-lhþt-gm-hk-et-nf	falla	fallia
1	Formála	nkeþ-s	no-kk-et-þgf-s	formáli	Formáli
1	Sturlungusafnsins	nheegs	no-hk-et-ef-gr-s	Sturlungusafnið	Sturlungusafn
1	höfuðátökum	nhfþ	no-hk-ft-þgf	höfuðátak	höfuðátök
1	ár-	kt	ób-sk	ársetning	ár-
1	Helgisaga	nven-s	no-kvk-et-nf-s	helgisaga	Helgisaga
1	Þingeyramunkar	nkfn-s	no-kk-ft-nf-s	Þingeyramunkar	Þingeyramunkur
1	Máttarvöld	nhfn	no-hk-ft-nf	máttarvöld	máttarvald
1	frumrænum	lvfþsf	lo-kvk-ft-þgf-sb-fst	frumnæmur	frumrænn
1	E-7823	ta	to	e-7823	E-7823
1	Dómhúsinu	nheþgs	no-hk-et-þgf-gr-s	Dómhús	Dómhúsið
1	Elínu	nveþ-s	no-kvk-et-þgf-s	Elína	Elín
1	E-	x	ób-x	e	E-
1	Arkitektaakademíunni	nveþgs	no-kvk-et-þgf-gr-s	Arkitektaakademía	Arkitektaakademían
1	kross-ofnæmi	nhen	no-hk-et-nf	krossofnæmi	kross-ofnæmi
1	DMDI.	ks	ób-sk	DMDl	DMDI.
1	vetrar-	kt	ób-sk	vetrardekk	vetrar-
1	2,0L	ks	ób-sk	2,0l	2,0L
1	SUBARU	n----s	no-x-s	SUBARU	Subaru
1	fiskifjá	x	ób-x	fiskisjá	fiskifjá
1	316i	ta	to	316i	316
1	1.9L	ks	ób-sk	1.9l	1.9L
1	Bílaþingi	nkeþ-s	no-kk-et-þgf-s	bílaþing	Bílaþingur
1	Silfurgr.	kt	ób-sk	silfurgr.	Silfurgr.
1	samnings	x	ób-x	samningur	samnings
1	atriðið	x	ób-x	atriði	atriðið
1	JONES	n----s	no-x-s	JONES	Jones
1	Annað	lhensf	lo-hk-et-nf-sb-fst	annaður	annar
1	Audi-verksmiðjuna	nveogs	no-kvk-et-þf-gr-s	Audiverksmiðja	Audi-verksmiðjan
1	Dansrækt	nveþ-s	no-kvk-et-þgf-s	dansrækt	Dansrækt
1	þess	x	ób-x	það	þess
1	BÁRA	nven-s	no-kvk-et-nf-s	Bára	BÁRA
1	antikbrúnt	lhensf	lo-hk-et-nf-sb-fst	antíkbrúnn	antikbrúnn
1	2+H+2	x	ób-x	2+h+2	2+H+2
1	2+H+3	x	ób-x	2+h+3	2+H+3
1	Gluggakappar	nkfn-s	no-kk-ft-nf-s	gluggakappi	Gluggakappi
1	elli-	kt	ób-sk	elliþegi	elli-
1	bókhalds-	kt	ób-sk	bókhaldsþjónusta	bókhalds-
1	HLJÓÐSETTNING	x	ób-x	hljóðsetning	HLJÓÐSETTNING
1	Dag-batnandi	lvenof	lo-ób	dagbatnandi	Dag-batnandi
1	Ofvirknibókarinnar	nveegs	no-kvk-et-ef-gr-s	ofvirknibók	Ofvirknibók
1	LISTASMIÐJAN	nvengs	no-kvk-et-nf-gr-s	listasmiðja	Listasmiðjan
1	Skeifan	nvengs	no-kvk-et-nf-gr-s	Skeifa	Skeifan
1	Kr.	ks	ób-sk	Kr	Kr.
1	Varahlutasala	nven	no-kvk-et-nf	Varahlutasala	varahlutasala
